survey	xray_objid	old_sdss_dr8objid	new_sdss_dr8objid	RA	DEC	z_spec	eBV	class	SOFT_FLUX	hard_flux	full_flux	SDSS_REJ	petroRad_u	petroRad_g	petroRad_r	petroRad_i	petroRad_z	petroR90_u	petroR90_g	petroR90_r	petroR90_i	petroR90_z	probPSF	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z	sdss_u_mag	sdss_u_err	sdss_g_mag	sdss_g_err	sdss_r_mag	sdss_r_err	sdss_i_mag	sdss_i_err	sdss_z_mag	sdss_z_err	galex_objid	galex_nuv_mag	galex_nuv_err	galex_fuv_mag	galex_fuv_err	ukidss_objid	ukidss_y_mag	ukidss_y_err	ukidss_j_mag	ukidss_j_err	ukidss_h_mag	ukidss_h_err	ukidss_k_mag	ukidss_k_err	wise_sigra	wise_sigdec	wise_cntr	wise_w1_mag	wise_w1_err	wise_w2_mag	wise_w2_err	wise_w3_mag	wise_w3_err	wise_w4_mag	wise_w4_err	wise_w1_snr	wise_w1_cov	wise_w2_snr	wise_w2_cov	wise_w3_snr	wise_w3_cov	wise_w4_snr	wise_w4_cov
CSC	4938	1237663277923303600	1237667173458575522	349.8723	0.5991945	0.118214	0.124902	GALAXY	1.628423e-13	1.331606e-13	3.881243e-13	no	2.305943	2.641654	2.737304	2.845	3.20033	2.928356	3.274212	3.182099	3.364275	3.879814	0	0.2430343	0.1788223	0.1296968	0.0983452	0.06972797	19.4107481042	0.03155895	18.6396096683	0.009007517	18.0045057678	0.007961016	17.6084385554	0.009015705	17.3733875067	0.0221131	3784081554682155191	20.6974923631	0.05332309	20.7510407812	0.0500138	433828015962	18.1939030237	0.033557	18.1196022197	0.040502	17.9605100146	0.040521	18.5542423274	0.076205	0.1655	0.1692	3494100001241031197	18.0014861637	0.037	18.1585432566	0.079	17.691	0.232	15.374	9999.0	29.5	13.846	21.5	13.821	8.3	13.924	1.9	13.903
CSC	4963	1237663782595330158	1237663782595330158	19.54964	-1.078008	0.739912	0.028439	QSO	1.572148e-14	1.878573e-14	4.538108e-14	no	1.182865	1.035503	1.205747	1.12404	0.9424428	1.833872	1.248313	1.459514	1.21693	1.474237	1	0.1810623	0.133224	0.09662512	0.0732679	0.05194785	21.0349927249	0.06645374	20.5277779709	0.02184421	20.0864955796	0.02010943	19.8417814031	0.02062481	19.5134594795	0.0508534	6473293482175759598	20.7688050634	0.07022903	21.6571845387	0.1256238	433838824924	19.086184713	0.1762	18.7975749049	0.118426	18.5071214567	0.18106	18.6922845059	0.216185	0.2988	0.3104	196001601241023869	18.708322253	0.071	18.8346197804	0.22	18.517	0.537	15.903	0.453	18.3	11.773	12.9	11.885	3.2	11.959	1.7	11.874
CSC	4963	1237666338116600005	1237666338116600005	19.7112	-1.037459	0.175272	0.032112	GALAXY	0.0	0.0	6.585753e-15	no	11.30562	2.768233	2.060734	2.143669	7.306396	3.493458	2.931936	2.606978	2.73004	2.354148	0	0.183824	0.135256	0.0980989	0.07438543	0.05274019	20.5652745897	0.07264392	19.2885158875	0.01337599	18.4398031212	0.008880146	17.9008875053	0.008637132	17.6488105742	0.0211361	6473328666547848345	21.6036937653	0.3733373	21.9036642696	0.4924254	433838634637	-99.0	-99.0	-99.0	-99.0	17.61295111	0.056087	16.3503573695	0.063645	0.1659	0.1679	196001601241030683	17.9584186848	0.074	18.2157054976	0.1	16.989	0.126	15.801	0.393	30.0	12.871	19.8	12.511	13.1	12.903	3.7	12.865
CSC	5650	1237645943978656141	1237676326589563098	55.71818	0.8812195	0.564903	0.032519	QSO	8.102147e-14	1.196175e-13	2.129473e-13	no	2.683937	1.312598	1.837232	1.790519	4.559671	3.347156	1.745662	2.341742	2.469829	3.124971	1	0.641049	0.4716777	0.3421	0.2594041	0.1839207	21.2088175771	0.1310281	20.4929908438	0.03206092	20.1426795907	0.02977856	19.68656671	0.02614935	19.6048576935	0.06382046	3781161251798780978	21.9526187604	0.09442607	23.3663649777	0.282066	433827392420	-99.0	-99.0	-99.0	-99.0	20.5634370751	0.321904	-99.0	-99.0	0.1685	0.1747	559101501241004947	18.1093838642	0.061	18.0278967682	0.095	17.939	0.301	15.441	9999.0	28.7	11.84	23.0	11.862	4.1	10.96	1.4	10.811
CSC	5650	1237666302168596550	1237666727336869973	55.8074	1.060264	1.643394	0.029413	QSO	2.053009e-14	4.916226e-14	7.36744e-14	no	2.650497	2.596415	2.260909	2.189544	2.271641	2.570867	2.820281	2.298878	2.383088	2.656006	1	1.060286	0.7801481	0.5658285	0.4290506	0.3042022	19.897949969	0.02926942	19.2445075849	0.008687512	18.4570333094	0.007410473	18.0237646576	0.007860877	17.8546886014	0.02098404	3781161251798782403	22.869241065	0.1611992	23.3210905121	0.3400294	433826385270	20.2407997955	0.209807	20.2196904857	0.189192	19.4783436679	0.207029	18.9630351911	0.193182	0.1417	0.1484	559101501241009620	17.9690225955	0.067	17.8439089738	0.059	17.339	0.245	15.99	0.474	31.2	13.534	26.3	13.72	17.0	11.038	5.2	11.327
CSC	5654	1237666300019015812	1237666725187289226	51.00864	-0.509818	1.313411	0.018036	QSO	3.246358e-14	0.0	8.769073e-14	no	2.277421	2.065802	1.924989	2.058354	2.067444	2.359035	1.977097	1.938965	2.033612	2.755014	1	0.4930935	0.3628134	0.2631426	0.199533	0.1414714	20.5278486159	0.05999647	20.4598163628	0.02448988	19.8004494539	0.02218917	19.721307388	0.02889977	19.5537229418	0.08228639	3786861120077177379	21.4665609292	0.04327597	22.5488753375	0.1245397	433836417593	19.8811563198	0.137032	19.6888759111	0.172127	19.8483676902	0.500618	19.3182352396	0.283366	0.3451	0.3772	514100001241004944	19.4172176198	0.155	18.9543045509	0.15	17.66	9999.0	15.746	9999.0	14.4	12.732	12.3	12.904	3.8	12.971	1.4	13.297
CSC	5695	1237666299481686186	1237666724649894175	49.90434	-0.9723241	1.411363	0.021215	QSO	8.922073e-15	0.0	2.566193e-14	no	2.222233	2.143814	1.725007	1.630829	27.92058	2.521111	2.251183	2.064737	2.169605	2.764331	1	0.3073644	0.2261558	0.1640271	0.1243767	0.08818466	20.2582716423	0.05115158	20.1116309156	0.02194222	19.7895426409	0.02092019	19.595097929	0.0256417	19.5689256306	0.0921132	3786790751332994088	21.187181524	0.05289331	22.3465939022	0.1939373	433837951783	20.0985152936	0.30105	-99.0	-99.0	-99.0	-99.0	19.6762748272	0.260542	0.2921	0.3083	499001601241032986	18.9117324136	0.077	18.6865399232	0.134	18.071	0.341	15.509	9999.0	16.9	11.92	14.2	12.219	5.3	11.028	2.4	11.561
CSC	7241	1237666300016459905	1237676673398014194	45.1725	-0.4629951	0.230023	0.033226	QSO	5.610947e-14	6.262134e-14	1.353817e-13	no	2.97028	4.193729	4.279025	3.562207	3.347504	7.064674	4.357265	4.968698	3.930788	6.817719	0	0.5942809	0.4372662	0.317142	0.2404791	0.1705027	21.030019845	0.130803	19.8914420019	0.02030708	18.8926924014	0.01460519	18.4012529465	0.01351993	18.149264328	0.040637	3780492748729094066	22.3532547558	0.1107637	23.0682710574	0.1854293	433836025356	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	19.6149216729	0.2001	0.1774	0.1819	453100001241009007	18.4157508365	0.051	18.503445188	0.12	17.839	0.278	15.707	9999.0	28.3	21.778	19.5	21.799	10.1	20.868	4.6	20.957
CSC	7748	1237663784207712367	1237676325501730936	23.58042	0.1403268	1.113772	0.054398	QSO	1.165388e-14	0.0	3.277407e-14	no	1.185097	1.285541	0.9584398	1.097617	0.9905279	1.393021	1.24436	1.057414	1.241277	0.8233882	1	0.1537142	0.1131014	0.08203058	0.06220131	0.0441015	20.3833730724	0.09564094	20.1419709428	0.03556811	19.8436706599	0.02522909	19.8595795794	0.02835788	19.8244958231	0.09489664	2913690557948630571	20.9609357048	0.04790133	23.5033123061	0.1946517	433830575707	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	19.6392046483	0.28159	0.3178	0.3251	242100001241022277	19.2563673242	0.169	18.8227709548	0.144	18.357	0.407	16.021	9999.0	16.1	15.517	13.8	15.824	4.5	15.957	0.3	15.995
CSC	7748	1237663784207712388	1237676325501730949	23.63919	0.2017977	1.392526	0.063579	QSO	1.652795e-14	0.0	3.665078e-14	no	3.638361	3.163969	4.00509	43.75784	11.3054	2.879439	3.905558	3.594759	4.214094	4.05003	0	0.1344471	0.09892486	0.07174856	0.05440476	0.03857365	21.3111152025	0.2400459	21.4107670087	0.1136741	20.6014269061	0.05192308	20.2685283591	0.04343996	20.4550643761	0.1738313	2913690557948631363	21.956795801	0.1480732	24.1148256584	0.3004744	433830575928	19.9339039841	0.242389	19.1030159305	0.118767	19.045824767	0.219103	18.7385991282	0.210973	0.6125	0.6211	242100001241025620	19.4476945641	0.157	19.5681729459	0.213	18.107	9999.0	16.18	9999.0	9.9	17.871	5.5	17.841	1.8	16.92	-0.8	16.933
CSC	8602	1237666408439152778	1237663204374020252	352.5863	0.2909602	0.703668	0.024911	QSO	6.65273e-14	0.0	1.534315e-13	no	1.304987	1.414751	1.22939	1.16677	1.442935	1.437211	1.540921	1.350372	1.39317	1.43954	1	0.2057482	0.1513876	0.1097989	0.08325718	0.05903038	19.6010652469	0.03155918	19.2551007779	0.01015107	19.1107775445	0.01161569	18.9845701304	0.01367699	18.8163569404	0.04524225	2417027961542677480	20.1681254642	0.02905995	20.7602614254	0.04887778	433830871882	20.4933938642	0.34812	20.8145420853	0.376147	20.2349193423	0.332361	-99.0	-99.0	0.1291	0.1326	3524100001241024293	17.6451842242	0.028	17.2503859771	0.038	17.147	0.143	15.85	0.423	32.9	13.276	31.5	13.178	10.5	13.224	2.5	13.333
CSC	8605	1237657190902268123	1237666661301878946	353.3162	-0.08131295	0.696264	0.02363	QSO	3.15901e-14	0.0	7.121732e-14	no	1.833725	1.729113	1.47855	1.370024	27.92155	1.964571	1.819176	1.60583	1.608179	2.543619	1	0.1975216	0.1453345	0.1054087	0.07992823	0.05667011	20.4976694712	0.05524348	20.0474344772	0.01695035	19.952501134	0.0214869	19.8844212291	0.0286618	19.7141082956	0.09995143	2911825786227917884	20.4547615197	0.0284088	20.9108577253	0.05101828	433832596639	19.0660412915	0.04784	19.0678133758	0.058497	19.0433069418	0.149851	19.888443943	0.328451	0.2962	0.308	3539100001241019551	18.8958969715	0.102	18.9611306413	0.143	17.944	9999.0	15.65	9999.0	18.7	12.272	11.9	12.395	2.2	13.195	0.9	13.476
CSC	8605	1237663784194408683	1237667172923146482	353.2334	0.0339706	0.128812	0.02834	GALAXY	0.0	0.0	3.443851e-14	no	9.518888	4.48498	4.305893	4.175654	4.086316	6.117748	4.737391	4.333446	4.42014	3.56232	0	0.1981733	0.1458141	0.1057565	0.08019196	0.0568571	19.4581144592	0.0509184	18.2384616663	0.008746236	17.3720031664	0.007038624	16.8806774089	0.007072119	16.6054113787	0.02027266	2911825786227918967	20.7689968074	0.03399299	21.0496459238	0.05342487	433832585993	-99.0	-99.0	18.8006557641	0.065875	-99.0	-99.0	-99.0	-99.0	0.1299	0.1298	3539100001241019440	17.4629197273	0.024	17.8671508687	0.06	17.403	0.182	15.486	9999.0	36.5	13.831	26.6	13.688	10.6	13.143	3.3	14.112
CSC	8609	1237663784194408451	1237667172923146407	353.1175	0.0091495	1.60672	0.027585	QSO	2.372036e-14	0.0	6.011795e-14	no	1.357162	1.140076	1.077138	0.9470516	1.039292	1.362983	1.244037	1.173939	1.06094	1.262647	1	0.1956316	0.1439439	0.1044001	0.07916345	0.05612787	19.2433499465	0.02398942	18.9313645839	0.008515613	18.7945642087	0.009698929	18.5045942844	0.01049007	18.5913353373	0.03705711	2911825786227918717	20.3233870871	0.0246643	21.9699948834	0.1240337	433832586040	-99.0	-99.0	17.8722674379	0.02471	-99.0	-99.0	-99.0	-99.0	0.1587	0.1677	3524100001241014428	18.2458309773	0.046	17.6590719798	0.058	16.809	0.102	15.621	0.328	25.5	13.217	27.5	13.551	15.9	13.851	5.2	13.712
CSC	8609	1237663784194408745	1237667172923146418	353.1267	0.02705777	0.715889	0.027709	QSO	1.510884e-14	0.0	3.969674e-14	no	1.368733	1.2228	1.225783	5.309444	1.394058	1.587125	1.47409	1.468384	1.345563	1.155539	1	0.197258	0.1451405	0.105268	0.07982154	0.05659447	20.6480449893	0.05873731	20.2590957323	0.01781677	20.1365630126	0.02228496	20.0732537886	0.03038422	19.8030123317	0.1048566	2911825786227918852	21.2988813036	0.04213655	21.978087676	0.08899814	433832586006	-99.0	-99.0	18.060857917	0.071875	-99.0	-99.0	-99.0	-99.0	0.3678	0.3801	3524100001241014581	19.4068877672	0.171	19.1581224597	0.236	17.785	9999.0	15.661	9999.0	14.5	12.805	10.9	12.906	3.0	12.847	2.3	12.851
CSC	8610	1237666408438956246	1237663204373823697	352.0734	0.329751	0.450964	0.024471	QSO	3.804853e-14	0.0	8.607957e-14	no	3.699712	3.245075	4.183108	4.554134	5.47538	4.249901	3.18908	3.805554	5.563407	4.771389	0	0.2138897	0.157378	0.1141437	0.08655169	0.06136623	20.0900885515	0.07328787	19.6961226014	0.02074432	19.112995821	0.01989184	18.7616908025	0.02157681	18.3065242896	0.06339953	2417027961542677891	20.529309889	0.03682836	20.7518444002	0.04364522	433828906458	21.0751964455	0.354642	20.618416119	0.250259	20.3902522011	0.377573	-99.0	-99.0	0.1779	0.1851	3524100001241022865	17.9754685055	0.041	18.2596386716	0.083	17.868	0.282	15.442	9999.0	28.6	12.922	18.4	13.675	6.1	12.97	1.6	13.197
CSC	8612	1237657190901481536	1237666661301092399	351.4872	-0.08328134	1.408844	0.022164	QSO	5.476052e-14	0.0	1.201734e-13	no	1.468455	1.542109	1.249421	1.289725	1.285335	1.62112	1.56157	1.43952	1.517718	1.318438	1	0.2093692	0.1540518	0.1117312	0.08472241	0.06006925	18.9958988919	0.02038939	18.9104887798	0.00842379	18.7007501459	0.009338869	18.6100312768	0.01161873	18.5379830685	0.03417765	3784222292170516469	19.96938102	0.01939427	21.5500162828	0.06247242	433832574237	20.3154245007	0.179186	19.845336541	0.182426	-99.0	-99.0	19.5921913214	0.296413	0.1964	0.1997	3509100001241014212	18.4813106607	0.066	17.9124983651	0.058	17.418	0.242	15.836	0.426	23.4	11.867	22.9	11.723	10.0	11.893	3.7	11.773
CSC	8612	1237663784193687930	1237663277387219305	351.5501	0.05649603	0.346267	0.028236	QSO	0.0	0.0	4.311985e-14	no	2.609082	3.086524	3.412096	2.972478	3.191485	5.359267	2.79117	3.731154	2.894273	3.144699	0	0.1925598	0.1416836	0.1027608	0.0779204	0.05524653	21.1316340004	0.1895621	20.1062381552	0.03223844	19.0991177086	0.02136046	18.6063953168	0.02159415	18.1112566425	0.05941443	2417063145914762888	21.9103428617	0.09035097	22.6708109936	0.1674264	433832603327	20.8490856776	0.236799	20.5274876939	0.235551	19.8886006042	0.278699	-99.0	-99.0	0.2823	0.2822	3509100001241014252	18.7087237176	0.091	18.9159766378	0.166	18.453	0.506	15.838	9999.0	20.6	12.657	11.2	12.186	2.9	12.068	0.8	12.761
CSC	8616	1237663784194081057	1237663277387612410	352.5114	0.1574206	0.347492	0.024883	GALAXY	2.382336e-14	0.0	6.72758e-14	no	4.405607	1.02292	4.42317	2.251714	0.820177	3.251029	0.6181072	3.35595	3.40385	0.4976404	1	0.2482994	0.1826964	0.1325066	0.1004758	0.07123858	21.7985818654	0.1114816	21.6896001494	0.04296977	20.8634051046	0.03305869	20.7674850774	0.04129219	20.6323750584	0.1559406	2417027961542675767	23.1484369944	0.2002724	23.7256052213	0.2627936	433830871725	15.7512598881	0.005777	15.7731902069	0.006665	15.9041903595	0.008851	16.4078600163	0.012464	0.54	0.5548	3524100001241024548	19.6286700081	0.181	19.2607066739	0.236	17.744	9999.0	15.86	9999.0	9.7	10.815	8.6	10.924	3.4	10.932	0.0	10.934
CSC	8616	1237663784194146566	1237663277387677841	352.5977	0.136573	0.99394	0.024681	QSO	3.481186e-14	5.45054e-14	1.023449e-13	no	0.9803458	1.11006	0.9881746	0.8413087	0.7457625	1.040325	1.18188	1.179427	1.102532	0.6946816	1	0.250856	0.1845774	0.1338709	0.1015103	0.07197206	20.0498290669	0.03553745	19.7818867701	0.0125714	19.4616707391	0.01310286	19.4807131445	0.01677461	19.4934548283	0.06125743	2417027961542675570	20.5335576411	0.02846835	21.5602103957	0.07551262	433830871915	-99.0	-99.0	20.5795311026	0.212621	-99.0	-99.0	-99.0	-99.0	0.2346	0.235	3524100001241015734	18.6067592784	0.082	18.4917860252	0.127	18.415	0.504	15.502	9999.0	22.2	11.881	17.2	11.861	3.8	11.917	2.8	11.69
XMM	41170101	1237666300553527359	1237676673398276357	45.52806	-0.02286571	0.644918	0.022539	QSO	1.185434e-13	2.622789e-13	3.726946e-13	no	2.049796	1.822655	2.515402	1.749854	1.813901	1.959102	2.689871	3.029034	2.367646	1.323242	1	0.5503435	0.4049375	0.2936944	0.2226996	0.1578968	21.3698927381	0.1152294	20.4862252473	0.02289847	20.5419936731	0.03686511	19.8894781736	0.0278171	19.938529324	0.1308318	3780563117473268744	22.2202363608	0.09771835	22.889172321	0.2621828	433832532056	20.7410753499	0.338106	20.7640288984	0.330992	-99.0	-99.0	19.3166632997	0.27763	0.149	0.1546	453100001241017651	18.0872166499	0.044	17.9860814665	0.055	17.741	0.226	15.948	9999.0	31.1	14.775	25.3	14.738	8.6	14.932	2.8	14.729
XMM	42341301	1237663784194867544	1237667172923670797	354.3061	0.1250548	1.351163	0.112878	QSO	1.598724e-14	2.780964e-14	4.82023e-14	no	3.239377	1.071268	1.006667	0.8734107	0.8313043	1.312803	1.121116	1.249093	0.8860673	1.958716	1	0.2034699	0.1497112	0.108583	0.08233523	0.0583767	20.8307950458	0.06507869	20.7202723123	0.02344695	20.4395966186	0.02655668	20.39981438	0.03796954	20.673736813	0.2126149	2907709214693526697	21.9839356791	0.08739304	22.4165002446	0.1055069	433830670460	15.6928786516	0.00444	15.4595991835	0.004662	15.2705338899	0.004526	15.5301593432	0.007174	0.6338	0.6891	3539100001241015892	19.9611046716	0.246	19.5933152636	0.249	18.025	9999.0	15.87	9999.0	7.9	12.774	7.2	12.807	3.1	12.963	0.1	13.212
XMM	42341301	1237666408440004819	1237666661839274113	354.5479	0.3462962	0.27883	0.113747	QSO	5.49418e-14	1.185832e-13	1.748614e-13	no	1.925284	2.149821	2.592777	2.637469	2.197541	1.84002	2.908755	2.810522	3.010895	1.971643	0	0.1936023	0.1424507	0.1033171	0.07834225	0.05554563	19.8843917938	0.04588851	19.679225517	0.0151624	19.0798548619	0.01502959	18.8553911315	0.01745814	18.3754975203	0.04461015	2907709214693529512	21.118497013	0.04638774	21.4309699024	0.05990897	433828863686	-99.0	-99.0	-99.0	-99.0	19.7153074936	0.162229	-99.0	-99.0	0.2407	0.2426	3539100001241026727	18.6097601191	0.094	18.5920089948	0.167	17.966	0.373	15.348	9999.0	22.7	10.919	14.9	10.626	5.0	10.876	2.7	10.86
XMM	90070201	1237663204918952293	1237663204918952293	10.90807	0.7708359	1.575271	0.047521	QSO	2.154479e-14	5.249898e-14	7.107194e-14	no	1.148101	1.465043	1.259519	1.099815	1.21181	0.9126119	1.438794	1.478292	1.17714	1.119779	1	0.09688912	0.07129009	0.05170552	0.03920673	0.02779806	20.7451608122	0.06244225	20.4349240729	0.02306202	20.1009368511	0.02259399	19.7023997469	0.02524638	19.470515774	0.07505347	6476002678824505798	21.512767057	0.1162016	-99.0	-99.0	433827499538	-99.0	-99.0	20.5877789093	0.169796	20.3040836104	0.314005	-99.0	-99.0	0.5807	0.6134	105101501241001587	19.5213831313	0.155	19.5840072278	0.372	17.449	9999.0	15.221	9999.0	9.6	12.505	4.3	12.823	3.9	4.598	4.0	4.0
XMM	90070201	1237663716556013657	1237663716556013657	10.92216	0.9362308	0.831096	0.031816	QSO	8.86388e-14	1.806561e-13	2.782634e-13	no	1.2115	1.102234	1.02094	1.120823	1.030712	1.210176	1.18178	1.092655	1.238341	1.326125	1	0.1137297	0.0836812	0.06069259	0.04602135	0.03262971	19.8401922566	0.03279468	19.4039546576	0.01089099	19.2604632603	0.0119491	19.4030760499	0.01695323	19.2535800025	0.04561349	6476002678826604857	20.5313290064	0.04630807	21.7453432654	0.08846249	433827446569	-99.0	-99.0	20.8960031335	0.160209	-99.0	-99.0	-99.0	-99.0	0.245	0.2567	105101501241001320	18.6569711631	0.089	18.4295299228	0.167	17.671	9999.0	15.282	9999.0	21.4	13.941	15.5	13.807	0.0	5.913	-0.4	6.587
XMM	90070201	1237663716556013774	1237676326569902232	10.92159	0.8814578	0.828478	0.029117	QSO	1.811481e-14	8.383279e-14	7.538051e-14	no	2.100334	1.371657	1.330959	1.501791	1.334675	1.690862	1.870315	1.459446	1.820084	1.384147	1	0.1109767	0.08165561	0.05922346	0.04490736	0.03183988	21.9776178008	0.4912775	20.5691923104	0.05856496	19.4433596173	0.02371743	18.6955728336	0.01603917	17.980261085	0.02296802	2915097932830091618	22.9821525234	0.2796121	-99.0	-99.0	433827446724	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	20.7031700702	0.461509	0.0794	0.0777	105101501241001174	15.8848750351	0.01	15.3054444757	0.012	15.065	0.029	14.222	0.184	42.3	15.776	48.4	15.667	36.2	8.875	13.3	8.95
XMM	90070201	1237663716556013782	1237676326569967741	10.9588	0.8411583	0.131112	0.031014	GALAXY	0.0	1.598557e-14	0.0	no	0.09910952	4.653073	3.533334	3.395989	3.923558	1.773787	5.3556	4.124868	3.915829	4.632623	0	0.110809	0.08153221	0.05913396	0.04483949	0.03179176	21.1170349874	0.5018758	19.2748449564	0.04155785	18.2840644694	0.01908955	17.7696572047	0.01501219	17.4353391193	0.02875701	2915097932830091194	22.5418269952	0.1895811	-99.0	-99.0	433827446831	18.3079509794	0.048651	18.1535094473	0.060168	18.2694143651	0.126287	17.6235383589	0.095061	0.1784	0.1857	105101501241001244	17.8958691794	0.036	18.4794392706	0.115	17.495	9999.0	15.333	9999.0	29.0	14.666	15.5	14.631	6.6	7.588	3.3	7.906
XMM	90070201	1237663716556013869	1237676326569902425	10.94664	0.8865002	0.831077	0.030852	QSO	1.236155e-14	2.716969e-14	3.941152e-14	no	1.332733	4.17084	1.847614	1.767224	7.202267	1.011768	3.27441	2.636797	1.420724	3.118117	1	0.1115987	0.08211327	0.0595554	0.04515905	0.03201833	21.3352974962	0.3132491	20.6877904869	0.07419121	20.6935283408	0.07849602	20.4307291614	0.07613153	19.9661967358	0.1344215	2915097932832188737	20.8855760985	0.06918304	22.0261418124	0.1287012	433827446712	-99.0	-99.0	-99.0	-99.0	19.7484929095	0.196632	20.4504035077	0.37249	0.3582	0.3542	105101501241001407	18.8238967538	0.072	19.3194637812	0.231	17.706	9999.0	15.593	9999.0	17.5	15.738	5.9	15.485	2.0	8.605	1.2	8.847
XMM	93030201	1237663457778729555	1237666648942182924	322.3738	0.01726083	0.127699	0.034996	GALAXY	0.0	2.833502e-14	1.143739e-14	no	2.970217	7.863467	6.920032	6.418558	5.75845	10.7897	7.310905	7.13083	6.043772	4.780003	0	0.2061787	0.1517043	0.1100286	0.08343138	0.05915389	20.0098918609	0.1063661	18.4299163647	0.01067001	17.5398604553	0.009046319	17.0663429344	0.009252214	16.6892546698	0.02627275	2863060246512807425	20.757300085	0.04069652	21.368029795	0.08350006	433871280990	20.9839849963	0.452743	20.1253063267	0.223551	19.8353676118	0.255617	-99.0	-99.0	0.15	0.15	3221100001241018499	17.5421992563	0.035	18.1963993389	0.1	17.591	0.213	15.498	9999.0	34.2	15.259	19.6	15.289	6.5	13.915	1.7	13.729
XMM	93030201	1237663457778795187	1237663457778795187	322.5625	0.05559644	1.77	0.04354	-999	6.701685e-15	2.335459e-14	2.495528e-14	no	1.187939	1.172932	0.9049869	0.9943148	1.061033	1.222378	1.193165	1.054932	1.203859	1.07451	1	0.2116264	0.1557126	0.1129358	0.0856358	0.06071685	20.2388511243	0.04017469	19.9695937381	0.01369533	19.8948816167	0.01653551	19.5350400279	0.01700854	19.4263079158	0.05833528	6396380444787481124	23.6654811709	0.7860835	-99.0	-99.0	433871262221	21.4852947566	0.540364	19.771065804	0.158768	20.0335184305	0.33495	19.9824689532	0.329712	0.4905	0.5169	3221100001241019050	19.7723894766	0.232	19.7235684237	0.396	18.149	9999.0	15.589	9999.0	11.2	16.859	8.0	16.746	2.8	14.915	0.9	14.697
XMM	93030201	1237663457778860567	1237666648942313886	322.6197	0.01917455	0.134415	0.046383	GALAXY	5.488421e-15	0.0	0.0	no	8.431272	8.484108	8.930259	8.667508	6.463924	9.488297	11.25846	11.08111	10.94133	8.571399	0	0.2117841	0.1558288	0.11302	0.08569965	0.06076212	19.4156954217	0.07030679	17.4221046906	0.005958701	16.2394922834	0.004228055	15.7496423397	0.004110741	15.334667379	0.009355607	2863060246512807450	22.4528926545	0.1832445	23.8311370415	0.2980602	433871261935	15.9709118031	0.005168	15.937373	0.005358	16.0075961125	0.006899	16.4573499662	0.014028	0.1012	0.0998	3221100001241018418	16.3533949831	0.018	16.9185733183	0.025	18.376	0.534	15.805	9999.0	42.5	11.481	36.3	11.23	3.1	10.458	0.2	11.664
XMM	93030201	1237663543142580878	1237663543142580878	322.2689	-0.08625958	1.42	0.058543	-999	5.242987e-15	0.0	0.0	no	1.323483	1.179912	0.9811363	0.964168	1.090395	1.300059	1.211153	1.133218	1.109444	1.035947	1	0.2146131	0.1579103	0.1145297	0.08684441	0.06157377	20.4933545992	0.04549582	20.3127556896	0.01760969	20.0347999827	0.0195016	19.8514207664	0.02337651	19.780535315	0.07989123	6396380444789576970	21.8164058766	0.1754632	22.9863006128	0.3145811	433871281537	20.3668263849	0.288624	20.9583208721	0.426817	20.3976333117	0.288896	20.8048975298	0.488397	0.4152	0.4401	3221100001241020525	19.7264937649	0.176	19.0786611243	0.309	18.48	0.483	15.761	9999.0	10.8	13.28	12.1	13.198	4.0	12.968	0.7	13.27
XMM	111180201	1237656567574170283	1237656567574170283	310.181	-0.7635221	0.607967	0.147761	GALAXY	2.522455e-14	2.524048e-13	1.542019e-13	no	2.969968	2.969915	2.760828	2.604588	1.748014	5.014523	0.06815957	2.467055	1.926778	5.382488	0	0.3098828	0.2280088	0.165371	0.1253958	0.08890719	24.2270863127	1.743687	22.8708530824	0.2876192	21.1987911577	0.09714102	20.2292933245	0.06359038	19.9008158413	0.1883039	6401869206833337226	23.0058385203	0.4549564	-99.0	-99.0	433871648619	16.05895691	0.005419	15.8332105061	0.008106	15.533665346	0.007324	15.8900406999	0.010159	0.2278	0.2406	3100001601241041567	18.64882035	0.074	18.1906180888	0.086	17.408	0.207	15.225	9999.0	19.2	12.893	19.9	12.832	9.4	10.956	5.6	10.914
XMM	111180201	1237663542063531443	1237666076093580346	310.0316	-0.9649678	0.41524	0.044951	QSO	6.441326e-15	0.0	2.405599e-14	no	1.503216	2.100532	1.825115	2.452274	1.589512	1.057243	1.641128	1.662762	2.504394	1.745648	0	0.3244704	0.2387422	0.1731558	0.1312988	0.09309248	22.1266291185	0.5617047	20.9266114103	0.09939249	20.3657279872	0.05675918	19.8526722762	0.0473816	19.5503762786	0.1052922	2468432329162362015	23.1364362456	0.1768945	-99.0	-99.0	433871793325	18.5480437933	0.131444	18.8011061951	0.120698	17.9289509682	0.101657	18.4319894266	0.148467	0.2625	0.2813	3100001601241041591	18.8023297133	0.155	18.6990708563	0.167	18.187	0.353	15.789	9999.0	20.0	15.271	14.4	15.617	3.2	13.846	2.5	14.657
