survey	xray_objid	old_sdss_dr8objid	new_sdss_dr8objid	RA	DEC	z_spec	eBV	class	SOFT_FLUX	hard_flux	full_flux	SDSS_REJ	petroRad_u	petroRad_g	petroRad_r	petroRad_i	petroRad_z	petroR90_u	petroR90_g	petroR90_r	petroR90_i	petroR90_z	probPSF	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z	sdss_u_mag	sdss_u_err	sdss_g_mag	sdss_g_err	sdss_r_mag	sdss_r_err	sdss_i_mag	sdss_i_err	sdss_z_mag	sdss_z_err	galex_objid	galex_nuv_mag	galex_nuv_err	galex_fuv_mag	galex_fuv_err	ukidss_objid	ukidss_y_mag	ukidss_y_err	ukidss_j_mag	ukidss_j_err	ukidss_h_mag	ukidss_h_err	ukidss_k_mag	ukidss_k_err	wise_sigra	wise_sigdec	wise_cntr	wise_w1_mag	wise_w1_err	wise_w2_mag	wise_w2_err	wise_w3_mag	wise_w3_err	wise_w4_mag	wise_w4_err	wise_w1_snr	wise_w1_cov	wise_w2_snr	wise_w2_cov	wise_w3_snr	wise_w3_cov	wise_w4_snr	wise_w4_cov
XMM	303562201	1237663784202207377	1237676325496225922	11.0059	0.1145977	0.217091	0.013352	GALAXY	1.849906e-14	0.0	4.40047e-14	no	2.970001	5.845971	7.326939	6.755262	5.541346	1.222983	11.23462	9.323944	8.738107	10.73585	0	0.08895047	0.06544891	0.04746901	0.03599431	0.02552042	21.8492802548	1.46959	19.0135221049	0.04781239	17.5746394735	0.01477687	17.0417363635	0.01095328	16.7294691865	0.02442775	2915097932832179621	22.4018975272	0.2443419	23.4129378464	0.3237606	433830735031	20.053606027	0.24883	19.633519858	0.079925	19.867613496	0.306406	19.138101866	0.177549	0.1102	0.1115	105100001241013594	16.494105933	0.012	16.9597608293	0.03	17.683	9999.0	15.512	9999.0	40.3	12.853	32.3	12.752	1.9	6.972	0.3	9.84
XMM	304801201	1237649940446577647	1237666647868834841	323.3107	-0.656864	0.710185	0.125862	QSO	5.0984e-15	0.0	1.574488e-14	no	4.752189	1.891641	2.06246	1.970368	2.40666	2.486765	1.831222	2.01313	1.555977	1.848027	1	0.2282166	0.1679196	0.1217893	0.09234915	0.0654767	21.1191893451	0.1100478	20.6037440407	0.02926057	20.3566958285	0.04100959	20.1354832757	0.04745644	19.9161594887	0.1517903	2863095430884886824	21.6064114712	0.05401564	22.8452848058	0.1530614	433871634314	21.3112520859	0.403404	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.2407	0.2486	3236100001241005264	18.6949687659	0.077	18.2970833474	0.093	17.495	9999.0	16.045	9999.0	20.7	10.941	17.0	10.84	5.1	10.859	0.7	10.773
XMM	312190401	1237657586562498818	1237666726257950907	44.00689	0.2671386	0.590988	0.029024	QSO	2.215694e-14	0.0	5.401295e-14	no	2.387961	2.111163	2.019278	2.489409	3.366846	2.228225	2.515264	2.222146	2.691813	3.152066	0	0.3502644	0.2577212	0.1869209	0.1417365	0.1004929	21.5954052989	0.1409097	20.6966835732	0.03124542	20.3671165013	0.03683291	19.7557285789	0.02981371	19.5643310332	0.102698	3785313007705263619	22.1110929304	0.07085816	22.9838785676	0.143113	433830876846	20.5140932567	0.431536	20.1248144717	0.257706	19.2081130986	0.169821	18.9245107534	0.153268	0.1614	0.1622	438100001241026903	18.3832303767	0.059	18.498871446	0.08	18.186	0.261	16.128	9999.0	31.7	29.868	21.0	29.548	5.0	25.944	0.9	29.518
XMM	400570301	1237663204922818968	1237666726784205061	19.7528	0.6814859	0.325204	0.039973	QSO	3.774425e-15	2.102537e-14	1.704158e-14	no	7.358139	3.538438	2.727485	2.632359	5.496817	4.521478	3.278678	2.455009	2.999334	4.090024	0	0.1604304	0.1180432	0.08561474	0.06491907	0.04602843	21.7448825909	0.2005867	20.8731503531	0.04810945	19.6939202471	0.02552706	19.1842474557	0.02591475	18.7321865016	0.05558139	2913092423621024271	22.3085283503	0.2118112	-99.0	-99.0	433828052331	20.1894579174	0.177247	19.6627668527	0.137032	19.5845581224	0.273639	19.5877436749	0.238962	0.2162	0.2243	196100001241032517	18.6266018374	0.067	18.8799794111	0.181	17.983	0.282	15.752	9999.0	24.4	16.83	15.7	16.819	6.1	15.937	1.1	15.852
XMM	400570301	1237663784742944969	1237676326036897863	19.76589	0.4398152	0.075847	0.035802	GALAXY	7.376768e-15	0.0	1.668162e-14	no	9.420112	5.034606	5.363115	5.290163	5.09322	9.231839	5.492257	6.156909	6.223199	5.957824	0	0.1678896	0.1235316	0.08959538	0.06793747	0.04816851	19.3341848485	0.143749	17.9587953986	0.0201178	16.961242779	0.009247667	16.4652117975	0.007927218	16.1563731104	0.01442001	2913092423623118471	20.525094511	0.07038235	21.7869189998	0.0990741	433829082383	-99.0	-99.0	-99.0	-99.0	20.2223344789	0.323105	19.3275945889	0.225304	0.121	0.1229	196100001241025392	16.8568622945	0.018	17.4182109284	0.03	17.655	0.336	15.905	9999.0	38.8	17.805	26.7	17.725	8.5	17.915	2.8	18.222
XMM	673000101	1237663479258874301	1237666648947097768	333.6035	0.2020431	1.468954	0.038682	QSO	5.751355e-14	1.071405e-13	1.757659e-13	no	2.163457	2.406663	1.88228	1.825376	1.731515	2.017204	2.491298	2.075751	2.222183	1.259306	1	0.3078628	0.2265225	0.164293	0.1245784	0.08832765	19.6834960799	0.03564694	19.547449969	0.01345482	19.1822959783	0.01394923	19.0012232566	0.01794995	18.9119403515	0.0597739	2470684128976047553	21.0970915077	0.04054871	-99.0	-99.0	433830939064	18.2914623765	0.053512	18.0815521492	0.069091	17.7265388552	0.048689	17.728319633	0.057711	0.4042	0.4319	3342100001241022833	19.2387498165	0.102	19.2315553924	0.204	17.997	9999.0	15.713	9999.0	13.7	13.948	9.2	13.832	2.4	12.896	0.9	12.961
XMM	673000101	1237663479795810353	1237666649484034161	333.6627	0.6210068	1.474826	0.028753	QSO	1.110362e-14	0.0	3.494114e-14	no	1.954123	2.521502	1.976614	2.174105	2.011162	2.485745	2.626414	2.146529	2.268661	2.626123	1	0.2510064	0.1846881	0.1339512	0.1015712	0.07201522	19.3705871476	0.02698534	19.1436930495	0.01122126	18.9577881346	0.0126108	18.7541630347	0.0171268	18.8268224648	0.05323774	2470684128976052710	20.8869288722	0.04057452	-99.0	-99.0	433828340652	19.50555581	0.14618	19.4025970397	0.096647	19.9460138796	0.324992	19.6307890599	0.27795	0.193	0.1991	3342100001241035283	18.48976453	0.066	17.8867906933	0.066	17.404	0.187	15.219	9999.0	23.1	13.877	24.2	12.797	8.4	12.056	2.2	12.243
XMM	673000101	1237663479795810766	1237666649484034595	333.7007	0.4519682	0.894545	0.045663	QSO	2.114291e-14	0.0	6.079576e-14	no	0.8333113	2.969282	1.615964	1.819356	0.8866675	0.6497499	2.782329	1.45342	1.589019	2.911077	0	0.2892736	0.2128447	0.1543727	0.1170562	0.08299429	22.52070551	0.3046051	21.7435199961	0.08076663	22.2738259973	0.1948818	22.0422269071	0.2860253	21.5798185439	0.5622815	2470684128978147723	22.8219336885	0.1446158	23.7081230852	0.2815844	433829157425	20.1868254471	0.192231	19.9431863687	0.210724	19.3062345569	0.141461	18.8813814541	0.160796	0.3401	0.3435	3342100001241022749	18.8931007271	0.092	18.9779784241	0.178	18.004	0.338	15.707	9999.0	16.4	11.88	10.9	11.89	4.0	10.962	-0.1	10.881
XMM	673002301	1237657190901612799	1237666661301223668	351.7732	-0.1133411	0.956763	0.032361	QSO	3.777461e-14	0.0	1.197827e-13	no	2.566405	1.59837	1.501197	1.012028	1.620571	2.290014	2.158508	1.451977	2.240795	1.17685	1	0.1889405	0.1390206	0.1008294	0.07645585	0.05420815	21.1545918031	0.08473524	20.8898612415	0.03057515	20.5584058691	0.03495476	20.5074947342	0.04591411	20.2291209399	0.1521294	3784222292170516122	20.3390496935	0.0230372	21.5427577488	0.06543486	433832595913	18.8797054404	0.040165	18.7689535314	0.049161	18.4742447932	0.071504	18.6876446809	0.083878	0.1991	0.2032	3524100001241020083	18.5135973404	0.064	18.2078643026	0.096	17.828	0.289	15.976	0.485	24.5	11.869	21.7	11.815	5.6	11.866	2.9	11.638
XMM	673002301	1237663783656882317	1237667172385620108	351.7068	-0.396244	1.168352	0.090524	QSO	2.104106e-14	8.912279e-14	8.312921e-14	no	1.245927	1.222867	1.162563	1.031623	1.079126	1.462554	1.370624	1.361987	1.358324	1.219654	1	0.1999591	0.147128	0.1067095	0.08091456	0.05736943	20.0977452471	0.03786216	19.5591748555	0.01168118	18.8472233988	0.01004524	18.5747597887	0.01114427	18.4738982617	0.02986796	3784222292170512578	21.1337448951	0.04219922	21.7586599222	0.09408825	433836093823	20.234323903	0.212676	19.7386337323	0.217554	19.1712802444	0.200537	20.5951641661	0.686459	0.1226	0.1232	3524100001241007180	17.737982083	0.042	17.118206296	0.03	16.824	0.107	15.841	0.413	31.6	12.879	35.5	12.844	15.3	12.948	3.9	12.714
