z_best,z_ml,z_qso,survey,xray_objid,old_sdss_dr8objid,new_sdss_dr8objid,RA,DEC,z_spec,eBV,class,SOFT_FLUX,hard_flux,full_flux,SDSS_REJ,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err,galex_objid,galex_nuv_mag,galex_nuv_err,galex_fuv_mag,galex_fuv_err,ukidss_objid,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err,wise_sigra,wise_sigdec,wise_cntr,wise_w1_mag,wise_w1_err,wise_w2_mag,wise_w2_err,wise_w3_mag,wise_w3_err,wise_w4_mag,wise_w4_err,wise_w1_snr,wise_w1_cov,wise_w2_snr,wise_w2_cov,wise_w3_snr,wise_w3_cov,wise_w4_snr,wise_w4_cov
0.0284,0.0435,3.24,XMM,90070201,1237663716556013782,1237676326569967741,10.9588,0.8411583,0.131112,0.031014,GALAXY,0,1.598557E-14,0,no,0.09910952,4.653073,3.533334,3.395989,3.923558,1.773787,5.3556,4.124868,3.915829,4.632623,False,0.110809,0.08153221,0.05913396,0.04483949,0.03179176,21.11703,0.5018758,19.27485,0.04155785,18.28407,0.01908955,17.76966,0.01501219,17.43534,0.02875701,2915097932830091194,22.54183,0.1895811,-99,-99,433827446831,18.30795,0.048651,18.15351,0.060168,18.26941,0.126287,17.62354,0.095061,0.1784,0.1857,105101501241001244,17.89587,0.036,18.47944,0.115,17.495,9999,15.333,9999,29,14.666,15.5,14.631,6.6,7.588,3.3,7.906
0.18,0.1876,1.78,XMM,90070201,1237663716555882612,1237663278469284010,10.69612,1.005934,1.110085,0.027828,QSO,3.578967E-14,4.056911E-14,9.649159E-14,no,1.347164,1.450486,1.291801,1.406273,1.514342,1.449379,1.545259,1.379112,1.514051,1.46538,True,0.1009887,0.07430653,0.05389329,0.04086565,0.02897426,18.88499,0.01997073,18.7821,0.008037465,18.59716,0.008590777,18.66981,0.01193295,18.73553,0.03729971,2417379805263563082,19.25163,0.02401119,20.18172,0.04600927,433826397213,20.20194,0.176632,20.05637,0.178824,19.91554,0.292226,-99,-99,0.181,0.1894,105101501241002603,18.32853,0.059,17.62813,0.049,17.635,0.484,15.195,9999,25.8,13.363,23.6,13.852,3.6,2.969,-1.8,4.297
0.1898,0.235,1.54,XMM,142610101,1237663784217804931,1237676325511823541,46.65526,0.1786914,0.264922,0.026099,GALAXY,3.495E-14,5.061379E-14,1.04086E-13,no,1.39636,1.947827,1.748366,1.892646,2.870019,1.172325,2.000564,2.285879,2.277306,2.670467,False,0.4207933,0.3096157,0.2245591,0.1702764,0.1207281,20.45263,0.09006508,19.94302,0.02644204,19.25192,0.01663609,19.02952,0.01649632,18.62314,0.0363305,3785488929565707398,21.56856,0.05055796,21.77951,0.0829423,433830914238,19.36091,0.08001,19.04728,0.109933,18.88573,0.135789,19.21169,0.252433,0.1809,0.1931,468100001241022572,18.34869,0.047,18.24106,0.089,17.078,0.168,15.422,9999,25.4,11.848,20,11.843,14,11.006,2.1,10.893
0.198,0.1926,3.54,XMM,211280101,1237663784195653829,1237667172924391627,355.9687,0.1797387,0.197681,0.028806,GALAXY,2.412284E-14,5.147044E-14,7.489604E-14,no,4.73415,3.030859,3.164182,3.394699,3.012596,4.534473,3.457914,3.68315,3.378204,4.938025,False,0.1468202,0.1080289,0.07835159,0.05941164,0.04212359,20.36718,0.08056033,19.62187,0.04661749,18.67722,0.01413887,18.19187,0.01425404,17.98172,0.04664343,2907674030321438766,21.73208,0.0714826,21.68958,0.06994168,433830820558,-99,-99,-99,-99,-99,-99,19.96178,0.323549,0.224,0.2302,3554100001241025808,18.46013,0.055,18.75056,0.144,18.48,0.503,15.637,9999,23.9,12.865,14.8,12.72,1.6,12.946,1.6,12.836
0.2155,0.2041,0.48,XMM,42341301,1237663277925269744,1237667173460541688,354.3469,0.4390182,0.267978,0.026197,GALAXY,0,0,1.63093E-14,no,6.309158,4.416077,4.588485,4.106416,4.723943,6.632827,4.613762,4.542246,4.102839,4.348225,False,0.1911182,0.1406229,0.1019915,0.07733704,0.05483292,20.07299,0.06776717,19.27756,0.01723433,18.3036,0.01206122,17.88201,0.01451675,17.44995,0.03358432,2907709214693530699,20.9212,0.04405234,21.11818,0.05247445,433828889845,-99,-99,-99,-99,19.3565,0.206568,18.99115,0.202738,0.1761,0.1725,3539100001241025122,17.93767,0.035,18.19493,0.096,17.742,0.354,15.413,9999,30.5,11.931,18.3,11.909,4.6,11.915,0.7,11.685
0.22,0.223,2.84,XMM,93030201,1237663543142645997,1237666661288378429,322.4142,-0.1224383,0.553436,0.034043,QSO,2.714381E-14,2.178604E-13,1.497214E-13,no,1.700119,1.771578,1.367382,1.259594,1.360802,1.712555,1.831476,1.519361,1.696078,1.655067,True,0.2020041,0.1486327,0.1078008,0.08174212,0.05795618,20.39625,0.05442164,19.28431,0.01082749,18.81477,0.01054217,18.36811,0.01014988,18.2444,0.03152816,2863060246511763948,-99,-99,22.84601,0.1923864,433871280772,19.63059,0.13671,19.5193,0.164454,19.97915,0.323741,-99,-99,0.0941,0.0932,3221100001241018434,16.84005,0.02,16.51127,0.021,16.414,0.082,15.193,0.246,40.8,10.902,43.5,11.322,20.3,10.35,7.6,10.092
0.22,0.2242,1.78,CSC,8602,1237666408439152778,1237663204374020252,352.5863,0.2909602,0.703668,0.024911,QSO,6.65273E-14,0,1.534315E-13,no,1.304987,1.414751,1.22939,1.16677,1.442935,1.437211,1.540921,1.350372,1.39317,1.43954,True,0.2057482,0.1513876,0.1097989,0.08325718,0.05903038,19.60106,0.03155918,19.2551,0.01015107,19.11078,0.01161569,18.98457,0.01367699,18.81636,0.04524225,2417027961542677480,20.16813,0.02905995,20.76026,0.04887778,433830871882,20.49339,0.34812,20.81454,0.376147,20.23492,0.332361,-99,-99,0.1291,0.1326,3524100001241024293,17.64518,0.028,17.25039,0.038,17.147,0.143,15.85,0.423,32.9,13.276,31.5,13.178,10.5,13.224,2.5,13.333
0.2239,0.2243,0.78,XMM,211280101,1237666408440660504,1237666661839929728,356.0111,0.292027,0.398133,0.03935,GALAXY,1.352639E-14,0,3.898107E-14,no,3.368092,2.555303,3.272486,2.947202,7.371985,2.860641,2.333254,3.951871,3.276722,4.679971,False,0.1379452,0.1014987,0.07361535,0.05582029,0.03957728,20.4748,0.08700582,20.13007,0.02618578,19.28967,0.02227307,18.93741,0.02386705,18.67918,0.08095661,2907674030321440246,21.12048,0.05056082,21.76294,0.07358268,433830569447,20.7619,0.35787,-99,-99,-99,-99,-99,-99,0.2724,0.2877,3554100001241025895,18.75082,0.094,19.05928,0.192,17.742,9999,15.94,9999,20.3,11.972,11.8,12.391,2.1,12.816,1.9,12.7
0.2253,0.2255,0,CSC,8612,1237663784193622313,1237663277387153647,351.4373,0.05745274,0.3076,0.037969,NELG,0,0,3.123858E-14,no,3.347276,1.598906,1.971303,2.040989,2.460405,3.038583,1.910146,2.62095,2.088088,2.424826,False,0.1950067,0.1434841,0.1040666,0.07891058,0.05594859,21.45568,0.15121,21.05578,0.04479829,20.09492,0.02988035,19.74643,0.03366515,19.17268,0.08979997,2417063145914762856,22.69537,0.1498789,22.83812,0.1680553,433832573857,21.10467,0.378814,-99,-99,-99,-99,-99,-99,0.5556,0.5607,3509100001241014422,19.40281,0.123,19.62005,0.261,18.14,9999,15.988,9999,11.6,12.157,4.2,12.675,-0.5,12.546,-1.1,12.178
0.24,0.2406,1.6,XMM,673002301,1237663783656882317,1237667172385620108,351.7068,-0.396244,1.168352,0.090524,QSO,2.104106E-14,8.912279E-14,8.312921E-14,no,1.245927,1.222867,1.162563,1.031623,1.079126,1.462554,1.370624,1.361987,1.358324,1.219654,True,0.1999591,0.147128,0.1067095,0.08091456,0.05736943,20.09775,0.03786216,19.55918,0.01168118,18.84722,0.01004524,18.57476,0.01114427,18.4739,0.02986796,3784222292170512578,21.13375,0.04219922,21.75866,0.09408825,433836093823,20.23432,0.212676,19.73863,0.217554,19.17128,0.200537,20.59516,0.686459,0.1226,0.1232,3524100001241007180,17.73798,0.042,17.11821,0.03,16.824,0.107,15.841,0.413,31.6,12.879,35.5,12.844,15.3,12.948,3.9,12.714
